id;titulo;zipNome;remotePath;destPath
"2607";"Matriz Bordado Jeep Troller";"trollergold24cm-ekoqfz.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/03/trollergold24cm-ekoqfz.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\trollergold24cm-ekoqfz.zip"
"2618";"Matriz Bordado Cuidador de Idoso 2";"cuidadoridoso9cm-2vim3w.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/03/cuidadoridoso9cm-2vim3w.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\cuidadoridoso9cm-2vim3w.zip"
"2620";"Matriz Bordado Técnico em Enfermagem";"tecenfermagem9cm-lsxlzi.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/03/tecenfermagem9cm-lsxlzi.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\tecenfermagem9cm-lsxlzi.zip"
"2625";"Matriz Bordado Técnico em Enfermagem 2";"tecenfermagem-5vexhh.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/03/tecenfermagem-5vexhh.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\tecenfermagem-5vexhh.zip"
"2668";"Matriz Bordado Polícia Militar do Tocantins";"policiatocantins-qpwhu8.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/03/policiatocantins-qpwhu8.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\policiatocantins-qpwhu8.zip"
"2677";"Matriz Bordado Operações Especiais COESP";"COESP-fhh0lb.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/03/COESP-fhh0lb.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\COESP-fhh0lb.zip"
"2681";"Matriz Bordado UFRRJ 1";"UFRRJ-9ub6cx.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/03/UFRRJ-9ub6cx.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\UFRRJ-9ub6cx.zip"
"2839";"Matriz Bordado Libertas Quae Sera Tamen";"LIBERTAS-gmgbbr.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/03/LIBERTAS-gmgbbr.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\LIBERTAS-gmgbbr.zip"
"2914";"Matriz Bordado Escudo da Ordem Demolay";"DEMOLAY-p50oyv.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/03/DEMOLAY-p50oyv.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\DEMOLAY-p50oyv.zip"
"2920";"Matriz Bordado Logo Psicanalista";"psicanalista-1azest.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/03/psicanalista-1azest.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\psicanalista-1azest.zip"
"2926";"Matriz Bordado Cuidador de Idoso 3";"cuidador3-xzguxm.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/03/cuidador3-xzguxm.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\cuidador3-xzguxm.zip"
"2933";"Matriz Bordado Cuidadora Idosos";"cuidadora-idoso-z0mvod.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/03/cuidadora-idoso-z0mvod.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\cuidadora-idoso-z0mvod.zip"
"2941";"Matriz Bordado Colégio Estadual da Polícia Militar de Goiás";"colegioestadual-vmupx2.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/03/colegioestadual-vmupx2.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\colegioestadual-vmupx2.zip"
"3067";"Matriz Bordado Cuidador de Idosos 4";"Cuidador4-3oamvu.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/04/Cuidador4-3oamvu.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\Cuidador4-3oamvu.zip"
"3084";"Matriz Bordado Centro Universitário Uninassau";"uninassau-ucblnp.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/04/uninassau-ucblnp.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\uninassau-ucblnp.zip"
"3089";"Matriz Bordado Centro Universitário Uninassau Circular";"uninassau-circular-mdhzxe.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/04/uninassau-circular-mdhzxe.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\uninassau-circular-mdhzxe.zip"
"3096";"Matriz Bordado Centro Universitário Uninassau 3";"uninassau3-6bue51.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/04/uninassau3-6bue51.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\uninassau3-6bue51.zip"
"3101";"Matriz Bordado Medicina Uninassau";"medicinauninassau-lcuiun.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/04/medicinauninassau-lcuiun.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\medicinauninassau-lcuiun.zip"
"3107";"Matriz Bordado Símbolo Psicologia 5";"psicologia-dqlydl.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/04/psicologia-dqlydl.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\psicologia-dqlydl.zip"
"3113";"Matriz Bordado Brasão Psicologia 1";"brasaopsicologia-dnndlk.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/04/brasaopsicologia-dnndlk.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\brasaopsicologia-dnndlk.zip"
"3119";"Matriz Bordado Logo Psicólogo";"psicologo-34gwa6.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/04/psicologo-34gwa6.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\psicologo-34gwa6.zip"
"3124";"Matriz Bordado Símbolo Psicologia 2";"psicologia2-v0vrxb.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/04/psicologia2-v0vrxb.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\psicologia2-v0vrxb.zip"
"3129";"Matriz Bordado Psicologia Famaz";"psicologiafamaz-dcc2n2.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/04/psicologiafamaz-dcc2n2.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\psicologiafamaz-dcc2n2.zip"
"3138";"Matriz Bordado Símbolo Psicologia 3";"psicologia3-v4fbho.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/04/psicologia3-v4fbho.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\psicologia3-v4fbho.zip"
"3148";"Matriz Bordado Universidade Federal Fluminense";"univ-fluminense-gj92jq.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/04/univ-fluminense-gj92jq.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\univ-fluminense-gj92jq.zip"
"3160";"Matriz Bordado Ufersa Universidade Rural do Semi Árido";"UFERSA-msqfyw.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/04/UFERSA-msqfyw.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\UFERSA-msqfyw.zip"
"3166";"Matriz Bordado Brasão Medicina 3";"brasaomedicina-8jlchh.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/04/brasaomedicina-8jlchh.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\brasaomedicina-8jlchh.zip"
