id;titulo;zipNome;file_path
"3084";"Matriz Bordado Centro Universitário Uninassau";"uninassau-ucblnp.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/04/uninassau-ucblnp.zip"
"3089";"Matriz Bordado Centro Universitário Uninassau Circular";"uninassau-circular-mdhzxe.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/04/uninassau-circular-mdhzxe.zip"
"3096";"Matriz Bordado Centro Universitário Uninassau 3";"uninassau3-6bue51.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/04/uninassau3-6bue51.zip"
"3101";"Matriz Bordado Medicina Uninassau";"medicinauninassau-lcuiun.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/04/medicinauninassau-lcuiun.zip"
"3107";"Matriz Bordado Símbolo Psicologia 5";"psicologia-dqlydl.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/04/psicologia-dqlydl.zip"
"3113";"Matriz Bordado Brasão Psicologia 1";"brasaopsicologia-dnndlk.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/04/brasaopsicologia-dnndlk.zip"
"3119";"Matriz Bordado Logo Psicólogo";"psicologo-34gwa6.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/04/psicologo-34gwa6.zip"
"3124";"Matriz Bordado Símbolo Psicologia 2";"psicologia2-v0vrxb.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/04/psicologia2-v0vrxb.zip"
"3129";"Matriz Bordado Psicologia Famaz";"psicologiafamaz-dcc2n2.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/04/psicologiafamaz-dcc2n2.zip"
"3138";"Matriz Bordado Símbolo Psicologia 3";"psicologia3-v4fbho.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/04/psicologia3-v4fbho.zip"
"3148";"Matriz Bordado Universidade Federal Fluminense";"univ-fluminense-gj92jq.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/04/univ-fluminense-gj92jq.zip"
"3160";"Matriz Bordado Ufersa Universidade Rural do Semi Árido";"UFERSA-msqfyw.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/04/UFERSA-msqfyw.zip"
"3166";"Matriz Bordado Brasão Medicina 3";"brasaomedicina-8jlchh.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/04/brasaomedicina-8jlchh.zip"
"3172";"Matriz Bordado Uncisal Universidade Estadual Alagoas";"uncisal-ywvtld.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/04/uncisal-ywvtld.zip"
